 2023-24 Survey Materials: Glossary  ," Date: 07-18-2023"
"Adjustments to beginning net assets","Unusual and infrequent adjustments to assets that are not recorded as current year revenues, expenses, gains, or losses. This includes adjustments for retroactive applications of changes in accounting principles and prior period adjustments.",""
"Adjustments to beginning net position","Unusual and infrequent adjustments to assets that are not recorded as current year revenues, expenses, gains, or losses. This includes adjustments for retroactive applications of changes in accounting principles and prior period adjustments.",""
"Administrative unit","The system or central office in a multi-campus environment.",""
"Admissions","This annual component is required of all currently operating Title IV postsecondary institutions in the United States and other areas that do not have an open admissions policy. Eligibility for Admissions is determined using a screening question in the Institutional Characteristics Header component and open admissions institutions will not see the component. Admissions data are collected for the current fall reporting period. Data are collected on admissions requirements, the number of applicants, admitted students, the number of admitted students that subsequently enrolled, and percentiles for ACT and SAT test scores. The number of applicants, admitted, and enrolled students is disaggregated by gender; enrolled students are further disaggregated by part-time and full-time status.Prior to the 2014-15 data collection cycle, Admissions was part of the Institutional Characteristics components. In 2014-15, it became part of the Winter data collection.",""
"Admissions test scores","Scores on standardized admissions tests or special admissions tests.",""
"Admitted students","Applicants that have been granted an official offer to enroll in a postsecondary institution.",""
"Adult basic education","Courses designed primarily for students 16 years of age and older to improve basic skills in reading, writing, and arithmetic. These courses are not intended to be part of a program leading to a high school credential,  nor are they part of any academic, occupational, or vocational program at the postsecondary level.",""
"Advanced placement (AP) courses","College-level courses taught in high school. Students may take an examination at the completion of the course; acceptable scores allow students to earn college credit toward a degree,  certificate,  or other recognized postsecondary credential.",""
"Affiliated organizations","Legally separate organizations that are affiliated or associated with a primary GASB institution. These organizations are created for the primary purpose of assisting a primary institution to accomplish its mission but are not subject to the institution's organizational or procedural oversight. Fund-raising foundations, athletic associations, alumni associations, and research foundations are some examples of affiliated organizations. Depending on the organizational structure and other factors, some affiliated organizations may be considered component units  and thus their financial activity must be reported separately by the primary institution.",""
"AICPA","The American Institute of Certified Public Accountants.",""
"AICPA College and University Audit Guide Model","A financial reporting model defined by AICPA. The audit guide contains the primary standards for financial reports of public colleges and universities prior to the effective date of GASB Statements 34 and 35. Standards of this Guide were permitted as one alternative by GASB Statement No. 15 for public institutions.",""
"Aid received","For the purposes of the IPEDS Student Financial Aid (SFA) component, aid received refers to financial aid that was awarded to, and accepted by, a student. This amount may differ from the aid amount that is disbursed to a student. For example, a student may accept aid that was awarded by the institution but then leave the institution prior to the aid being disbursed. In this case, because the student accepted the aid, the aid would be reported to IPEDS, even though it was <b>NOT</b> actually disbursed to the student.",""
"All other sports combined","Any sport not specified separately in the collection of Graduation Rates (GRS) data. This includes sports such as golf, tennis, lacrosse or field hockey where teams participate in intercollegiate athletics competition. It does not include cheerleading or dance teams even though the institution might award aid to students participating in these activities under the auspices of the athletic department.",""
"Allowable costs","Except in the case of correspondence and incarcerated students, allowable costs for the cost of attendance typically include:<ol>  <li> Tuition and fees;</li>  <li> Food and housing;</li>  <li> Books, materials, supplies, and equipment, which may include the rental or purchase of a personal computer;</li>  <li> Transportation, which may include, but is not limited to, vehicle maintenance and/or travel costs between campus, residences, and the student’s place of work; and</li>  <li> Miscellaneous expenses, which may include other costs and allowances under the law and/or as determined by the institution for a student attending at least half-time such as an allowance for:</li></ol><ul>  <li>Dependent care;</li>  <li>Study abroad expenses;</li>  <li>Disability-related expenses;</li>  <li>Cooperative education costs;</li>  <li>Professional licensure, certification, or first professional credential costs; and</li>  <li>Federal student loan fees.</li></ul>Note: Other restrictions and limitations may apply to the cost components and allowances, especially for less-than-full-time, correspondence, and incarcerated students.","Cost of attendance (for IPEDS reporting purposes),Average cost of attendance,Total cost of attendance"
"Allowances","That part of a scholarship or fellowship that is used to pay institutional charges such as tuition and fees or food and housing charges.",""
"American Indian or Alaska Native","A person having origins in any of the original peoples of North and South America (including Central America) who maintains cultural identification through tribal affiliation or community attachment.",""
"American Indian or Alaska Native (old definition)","A person having origins in any of the original peoples of North America and who maintains cultural identification through tribal affiliation or community recognition.",""
"Annual contract or employment agreement","An annually-renewable contract or employment agreement that is in effect for a stated annual period within one year of execution, and may be equal to a period of 365 days, or a standard academic year, or the equivalent. Does not include contracts for partial year periods such as a single semester, quarter, term, block, or course.",""
"Annuity and life income funds","Funds carrying a stipulation that the institution make payments to one or more specific beneficiaries.",""
"Applicant","An individual who has fulfilled the institution's requirements to be considered for admission (including payment or waiving of the application fee,  if any) and who has been notified of one of the following actions: admission, nonadmission, placement on waiting list, or application withdrawn by applicant or institution.",""
"Application fee","That amount of money that an institution charges for processing a student's application for admittance to the institution. This amount is not creditable toward tuition or required fees,  nor is it refundable if the student is not admitted to the institution.",""
"Archivists, Curators, and Museum Technicians","An occupational category based on the broad occupation in the 2018 Standard Occupational Classification (SOC) Manual called 'Archivists, Curators, and Museum Technicians' (SOC code 25-4010). &nbsp;For detailed information, refer to the following website: https://www.bls.gov/soc/2018/major_groups.htm#25-0000.",""
"Asian","A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian Subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam.",""
"Asian/Pacific Islander (old definition)","A person having origins in any of the original peoples of the Far East, Southeast Asia, the Indian Subcontinent, and Pacific Islands. This includes people from China, Japan, Korea, the Philippine Islands, American Samoa, India, and Vietnam.",""
"Assets","Physical items (tangible) or rights (intangible) that have value and that are owned by the institution. Assets are useful to the institution because they are a source of future services or because they can be used to secure future benefits.","Current assets,Noncurrent assets,Fixed assets"
"Associate's Colleges (Carnegie)","An institutional classification developed by the Andrew W. Carnegie Foundation for the Advancement of Teaching. Associate's Colleges offer associate's degree and certificate programs  but, with few exceptions, award no baccalaureate degrees . This group includes institutions where, during the period studied, bachelor's degrees represented less than 10 percent of all undergraduate awards.","Carnegie Classification"
"Associate's degree","An award that normally requires at least 2 but less than 4 years of full-time equivalent college work.",""
"At-will contract or employment agreement","A contract or agreement that can be terminated by the employer or employee at any time, for any or no reason.",""
"Audiovisual Materials","Materials that are displayed by visual projection or magnification, or through sound reproduction, or both, including sound recordings, motion pictures and video recordings, and graphic materials. Also included in this category are special visual materials such as three-dimensional artifacts and realia, and web-based audiovisual resources. This includes audio documents such as records, tapes, cassettes, audio compact discs, files of digital audio recordings; visual documents such as slides, transparencies, and combined audiovisual documents such as motion pictures, video recordings, etc. Microforms are excluded.",""
"Audit opinion","An audit, performed by external (or outside) auditors, that usually consists of a one-page 'opinion' letter on the general-purpose financial statements. The 'opinion' paragraph of the letter usually states that 'In our opinion, the financial statements present fairly, in all material respects, the financial position as of (date) and the results of operations for the year then ended, in conformity with accounting standards generally accepted in the United States.'  If the auditor cannot state completely the substance of the previous 'opinion' sentence, then the auditor will add a phrase such as '...except for...' and state the basis for the exception. When the auditor includes exceptions to the opinion, the opinion is considered to be a 'qualified opinion;' when no such exceptions are included, the opinion is considered to be an 'unqualified opinion.'",""
"Audit/auditing (a class)","Term used when a student elects to take a course, but does not wish to receive credit for the course toward a degree or other recognized postsecondary credential.",""
"Auxiliary enterprises expenses","Expenses for essentially self-supporting operations of the institution that exist to furnish a service to students, faculty, or staff, and that charge a fee that is directly related to, although not necessarily equal to, the cost of the service. Examples are residence halls, food services, student health services, intercollegiate athletics (only if essentially self-supporting), college unions, college stores, faculty and staff parking, and faculty housing. Institutions include actual or allocated costs for operation and maintenance of plant, interest and depreciation.",""
"Auxiliary enterprises revenues","Revenues generated by or collected from the auxiliary enterprise operations of the institution that exist to furnish a service to students, faculty,  or staff, and that charge a fee that is directly related to, although not necessarily equal to, the cost of the service. Auxiliary enterprises are managed as essentially self-supporting activities. Examples are residence halls, food services, student health services, intercollegiate athletics, college unions, college stores, and movie theaters.",""
"Average cost of attendance","<p>The average of the actual or average allowable costs as defined by the Higher Education Act of 1965, as amended, used to determine a student’s eligibility for Title IV and other financial aid programs. The average may be based on all students or different categories of students such as undergraduates or graduates. Other student categories may include enrollment status, academic program, or residency. <strong>For IPEDS reporting purposes, cost of attendance is only reported for full-time, first-time students.</strong></p>","Cost of attendance (for IPEDS reporting purposes),Allowable costs,Total cost of attendance"
"Average Net price","The <i>Higher Education Act, as amended (2008),</i> defines institutional net price as 'the average yearly price actually charged to first-time, full-time undergraduate students receiving student aid at an institution of higher education after deducting such aid.' In IPEDS, average institutional net price is generated by subtracting the average amount of federal, state/local government, or institutional grant and scholarship aid from the total cost of attendance. Total cost of attendance is the sum of published tuition and required fees (lower of in-district or in-state for public institutions), books and supplies, and the weighted average for food and housing and other expenses. Cost of attendance data are collected in the Institutional Characteristics (IC) component of IPEDS, and financial aid data are collected in the Student Financial Aid (SFA) component of IPEDS.","Total cost of attendance"
"Avocational programs","Instructional programs  in personal interest and leisure categories whose expressed intent is not to produce postsecondary credits, nor to lead to a recognized postsecondary credential or an academic degree,  nor result in occupationally specific skills.",""
"Baccalaureate Colleges - General  (Carnegie)","An institutional classification developed by the Andrew W. Carnegie Foundation for the Advancement of Teaching. Baccalaureate Colleges - General are primarily undergraduate colleges with major emphasis on baccalaureate programs. During the period studied, they awarded less than half of their baccalaureate degrees in liberal arts fields.","Carnegie Classification"
"Baccalaureate Colleges - Liberal Arts (Carnegie)","An institutional classification developed by the Andrew W. Carnegie Foundation for the Advancement of Teaching. Baccalaureate Colleges - Liberal Arts are primarily undergraduate colleges with major emphasis on baccalaureate programs. During the period studied, they awarded at least half of their baccalaureate degrees in liberal arts fields.","Carnegie Classification"
"Baccalaureate/Associate's Colleges (Carnegie)","An institutional classification developed by the Andrew W. Carnegie Foundation for the Advancement of Teaching. Baccalaureate/Associate's Colleges are undergraduate colleges where the majority of conferrals are below the baccalaureate level (associate's degrees  and certificates). During the period studied, bachelor's degrees  accounted for at least ten percent of undergraduate awards.","Carnegie Classification"
"Bachelor's degree","An award (baccalaureate or equivalent degree, as determined by the Secretary, U.S. Department of Education) that normally requires at least 4 but not more than 5 years of full-time equivalent college-level work. This includes all bachelor's degrees  conferred in a 5-year cooperative (work-study) program. A cooperative plan provides for alternate class attendance and employment in business, industry, or government; thus, it allows students to combine actual work experience with their college studies. Also includes bachelor's degrees in which the normal 4 years of work are completed in 3 years.",""
"Bachelor's or equivalent degree-seeking subcohort","In the GR component of IPEDS, a cohort of students who were seeking a bachelor's or equivalent degree upon entry.",""
"Balance owed on principal","Outstanding balance owed on indebtedness principal (at the beginning/end of the year) as shown in the liability section of the balance sheet.",""
"Balance sheet","An official financial statement that lists a postsecondary institution's assets and liabilities as of a specified date.",""
"Basic Principles for Income Tax Accounting","The following basic principles are applied in accounting for income taxes at the date of the financial statements:&nbsp;<div>&nbsp;a)    A current tax liability or asset is recognized for the estimated taxes payable or refundable on tax returns for the current year.&nbsp;</div><div>&nbsp;b)    A deferred tax liability or asset is recognized for the estimated future tax effects attributable to temporary differences and carry forwards.&nbsp;</div><div>&nbsp;c)     The measurement of current and deferred tax liabilities and assets is based on provisions of the enacted tax law; the effects of future changes in tax laws or rates are not anticipated.&nbsp;</div><div>&nbsp;d)    The measurement of deferred tax assets is reduced, if necessary, by the amount of any tax benefits that, based on available evidence, are not expected to be realized.</div>",""
"Bibliographic utilities, networks and consortia","Services provided by national, regional, and local bibliographic utilities networks, and consortia.",""
"Black or African American","A person having origins in any of the black racial groups of Africa.",""
"Black, non-Hispanic (old definition)","A person having origins in any of the black racial groups of Africa (except those of Hispanic origin).",""
"Book value","The dollar value of the physical asset at the time of construction or purchase of that asset, or, if the asset is a gift, the market value of the asset at the time of the gift. It may also be the difference between the balance of a physical plant asset account and its related accumulated depreciation account.",""
"Books","Books are non-serial printed publications, including music, that&nbsp;have hard or soft covers or are&nbsp;in loose-leaf format.&nbsp;",""
"Books and supplies","The average cost of books, course materials, supplies, and equipment for a typical student for an entire academic year (or program). Does not include unusual costs for special groups of students (e.g., engineering or art majors), unless they constitute the majority of students at an institution.",""
"Branch and independent libraries","Auxiliary library service outlets with quarters separate from the central library that houses the basic collection. The central library administers the branches. Libraries on branch campuses that have separate NCES identification numbers are reported as separate libraries.",""
"Branch institution","A campus or site of an educational institution that is not temporary, is located in a community beyond a reasonable commuting distance from its parent institution, and offers full programs  of study, not just courses.",""
"Buildings","Capital assets built or acquired for occupancy and use by the entity. These are structures such as classrooms, research facilities, administrative offices, and storage. Includes built-in fixtures and equipment that are essentially part of the permanent structure. Buildings held for the production of revenue are classified as investments.",""
"Business and Financial Operations Occupations","An occupational category based on the major group in the 2018 Standard Occupational Classification (SOC) Manual called 'Business and Financial Operations Occupations.' For detailed information refer to the following website: https://www.bls.gov/soc/2018/major_groups.htm#13-0000.",""
"Business-type activities","Activities for which fees are charged to external parties for goods or services. GASB Statement 34 specifies the reporting format to be used by this type of governmental entity.",""
"Cafeteria plan","An insurance plan that gives an employee the option of selecting a combination of health care and insurance benefits (e.g. hospital, medical, surgical, dental care, and group life insurance).",""
"Calculated value (CV)","Calculated value (CV) is used to designate fields that are generated (or calculated) based on data provided on other lines within the same part of a survey component. For example, a 'balance' line or 'other (detail)' line will be calculated as the difference between the total line and the sum of the remaining detail.",""
"Calculation of FTE students (using fall student headcounts)","The number of FTE students is calculated based on fall student headcounts as reported by the institution on the IPEDS Enrollment (EF) component (Part A). The full-time equivalent (headcount) of the institution's part-time enrollment is estimated by multiplying the factors noted below times the part-time headcount. These are then added to the full-time enrollment headcounts to obtain an FTE for all students enrolled in the fall. This formula is used to produce an FTE that is used annually in the Digest of Education Statistics. <BR><BR><UL><LI>Part-time undergraduate enrollment</LI><UL><LI>Public 4-year (.403543)</LI><LI>Private (not-for-profit and for-profit) 4-year (.392857)</LI><LI>Public 2-year and &lt;2-year (.335737)</LI><LI>All other institutions (.397058)</LI></UL><LI>Part-time graduate enrollment</LI><UL><LI>Public 4-year (.361702)</LI><LI>Private (not-for-profit and for-profit) 4-year (.382059)</LI></UL></UL>",""
"Calculation of FTE students (using instructional activity)","The number of FTE students is calculated based on the credit and/or clock hours reported by the institution on the IPEDS 12-month enrollment (E12) component and the institution's calendar system, as reported on the IC Header component. The following table indicates the level of instructional activity used to convert the credit and/or clock hours reported to an indicator of full-time equivalents (FTE students):<br>&nbsp;&nbsp;&nbsp;<b>-</b> Quarter calendar system<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<b>-</b> Enrollment level (One FTE over 12-month period)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<b>-</b>Undergraduate 45 credit hours, 900 clock hours<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<b>-</b>Graduate 36 credit hours<br>&nbsp;&nbsp;&nbsp;<b>-</b> Semester/trimester/4-1-4 plan/other calendar system<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<b>-</b>Enrollment level (one FTE over 12-month period)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<b>-</b>Undergraduate 30 credit hours 900 clock hours<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<b>-</b>Graduate 24 credit hours<br>For institutions with continuous enrollment programs, FTE is determined by dividing the number of clock hours attempted by 900.<br><br>The total 12-month FTE is generated by summing the estimated or reported undergraduate FTE and the estimated or reported graduate FTE and reported Doctor's Professional Practice FTE.",""
"Calendar system","The method by which an institution structures most of its courses for the academic year.",""
"Cambridge Certificate of Advanced English (CAE)","<p>A standardized test designed to determine an applicant's ability to benefit from instruction in English.</p>","English Proficiency Test"
"Capital appropriations","Nonoperating revenues appropriated to a GASB institution by a government with the requirement that the funds be used primarily to acquire, construct, or improve capital assets,  including buildings,  land, equipment,  and similar capital assets.",""
"Capital assets","Tangible or intangible assets that are capitalized under an institution's capitalization policy; some of these assets are subject to depreciation and some are not. These assets consist of land and land improvements,  buildings,  building improvements, machinery, equipment,  infrastructure,  and all other assets that are used in operations and that have initial useful lives extending beyond one year. Capital assets also include collections of works of art and historical treasure and library collections; however under certain conditions such collections may not be capitalized. They also include property acquired under capital leases and intangible assets such as patents, copyrights, trademarks, goodwill, and software. Excluded are assets that are part of endowment funds or other capital fund investments in real estate.",""
"Capital grants and gifts","Revenues of a GASB institution, other than capital appropriations,  where a funding source external to the institution specifies that they be used primarily to acquire, construct, or improve capital assets. Includes gifts designated for a capital project.",""
"Capital leases","Capital assets acquired under lease arrangement, as provided in FASB Statement No. 13 (applicable to both FASB and GASB institutions). These are leases where the institution in substance acquires the capital asset or the right to use it for most or all of its economic life through a lease arrangement. FASB standards require institutions to recognize such assets in their financial statements and also to recognize the lease payment obligations as liabilities. The lease is basically considered a form of financing used to acquire the capital asset.",""
"Capital outlay","The cost of acquiring plant assets, adding to plant assets, and adding utility to plant assets for more than one accounting period.",""
"Capitalize","To place in service as a long-term asset.  These assets are expected to be used by the institution for a period in excess of one year (e.g., land, buildings or patents).",""
"Carl D. Perkins Vocational and Technical Education Act","The Carl D. Perkins Vocational and Technical Education Act of 1998 (P.L. 105-332) was signed into law on October 31, 1998 and became effective on July 1, 1999. Its purpose is to improve vocational and technical education programs. The primary focus is to develop challenging academic standards and promote the development of activities that integrate academic and vocational and technical instruction. The Act also outlines various opportunities for states and local areas to integrate vocational education and workforce investment systems. However, new and strict barriers are placed on linkages between vocational education and School-to-Work programs.",""
"Carnegie Classification","An institutional classification coding structure developed by the Andrew W. Carnegie Foundation for the Advancement of Teaching. The 2000 Carnegie Classification categorizes selected institutions as:<ul><li>Doctoral/Research Universities-Extensive</li><li> Doctoral/Research Universities-Intensive</li><li>Master's Colleges and Universities I</li><li> Master's Colleges and Universities II</li><li> Baccalaureate Colleges-Liberal Arts</li><li> Baccalaureate Colleges-General</li><li> Baccalaureate/Associate's Colleges</li><li>Associate's Colleges</li><li>Specialized Institutions:<ul><li>Theological seminaries and other specialized faith-related institutions</li><li>Medical schools and medical centers</li><li>Other separate health profession schools</li><li>Schools of engineering and technology</li><li>Schools of business and management</li><li>Schools of art, music, and design</li><li>Schools of law</li><li>Teachers colleges</li><li>Other specialized institutions</li></ul></li><li>Tribal Colleges and Universities</li></ul>",""
"Carnegie Classification 2005: Basic classification","The Basic Classification is an update of the traditional classification framework developed by the Carnegie Commission on Higher Education in 1970 to support its research program, and later published in 1973 for use by other researchers. Although this classification has undergone many changes over the years, the current release involves some significant changes from previous editions.  For a complete description and technical details visit the Carnegie Foundation Website at http://www.carnegiefoundation.org/classifications",""
"Carnegie Classification 2005: Enrollment profile classification","This classification describes the overall student population, by grouping institutions according to the mix of students enrolled at the undergraduate and graduate/professional levels. Exclusively undergraduate institutions are further broken down by level (two-year and four-year). For institutions with both undergraduate and graduate/professional students, institutions are grouped according to the distribution of full-time equivalent students across the two levels, giving an approximate measure of the student population's 'center of gravity.' As a result, it reflects important differences with respect to educational mission as well as institutional climate and culture-differences that can have implications for infrastructure, services, and resource allocation.  For a complete description and technical details visit the Carnegie Foundation Website at http://www.carnegiefoundation.org/classifications",""
"Carnegie Classification 2005: Graduate instructional program","As a companion to the Undergraduate Instructional Program classification, this classification examines the nature of graduate education, with a special focus on the mix of graduate programs. In this classification, a single graduate-level degree qualifies an institution for inclusion.The classification is based on the level of graduate degrees awarded master's/professional or doctoral), the number of fields represented by the degrees awarded, and the mix or concentration of degrees by broad disciplinary domain. The classification has two parts: one for institutions that do not award the doctorate, and one for doctoral-level institutions (based on the record of degree conferrals, not program offerings). Within each group, institutions are then classified with respect to the breadth of graduate offerings and the concentration of degrees in certain fields or combinations of fields.  For a complete description and technical details visit the Carnegie Foundation Website at http://www.carnegiefoundation.org/classifications",""
"Carnegie Classification 2005: Size and setting classification","This classification describes institutions' size and residential character. Because residential character applies to the undergraduate student body, exclusively graduate/professional institutions are not included.  For a complete description and technical details visit the Carnegie Foundation Website at http://www.carnegiefoundation.org/classifications",""
"Carnegie Classification 2005: Undergraduate instructional program","The instructional program classification is based on three pieces of information: the level of undergraduate degrees awarded (associate's or bachelor's), the proportion of bachelor's degree majors in the arts and sciences and in professional fields, and the extent to which an institution awards graduate degrees in the same fields in which it awards undergraduate degrees. The distinction between arts and sciences and professional undergraduate majors is one that has been made in the Classification since 1987 (but only for undergraduate colleges), and researchers and others in the higher education community have made similar distinctions. The previous analysis has been extended and elaborated by (1) applying it to almost all baccalaureate-level institutions, (2) making finer distinctions along the arts and sciences - professions continuum, and (3) recognizing a 'middle ground' where the two domains exist in relative balance with respect to graduating students' major concentrations.  For a complete description and technical details visit the Carnegie Foundation Website at http://www.carnegiefoundation.org/classifications",""
"Carnegie Classification 2005: Undergraduate profile","This classification describes the undergraduate population with respect to three characteristics: the proportion who attend part- or full-time; achievement characteristics of first-year students; and the proportion of entering students who transfer in from another institution. Each of these captures important differences in the nature of the undergraduate population. They do not imply differences in the quality of undergraduate education, but they have implications for how an institution serves its students.  For a complete description and technical details visit the Carnegie Foundation Website at http://www.carnegiefoundation.org/classifications",""
"Cartographic Material","Materials representing in whole or in part the earth or any celestial body at any scale (e.g., maps and charts)",""
"Casual employees","Persons who are hired to work during peak times such as those that help at registration time or those that work in the bookstore for a day or two at the start of a session.",""
"Certificate","A recognized postsecondary credential that is conferred upon the satisfactory completion of a postsecondary education program.",""
